Incident No.,Incident Type,Incident Date,Discovery Date,Country Role,Region,Country,City/Region,Location Type,Origin if known,Transit if known,Destination if known,Report grading,Verif means,Ultimate source type,Ult. Verif. Source,Ult. Source Reliability,Orig. Source Type,Medium,Original Source,Day,Month,Year,Day (+/-),Month (+/-),# Cheetahs,Units,Incident Description,Confiscated,Surrendered,Alive,Died,LTF/ UNK Fate,Action Taken,Outcome,Detecting agency,POI Assigned ID,Other info / URL
PT-2010-001,Seizure,13/01/2010,27/08/2020,D,Europe,Spain,,Unknown,,E Europe,,D,Invest. report,C,El Mundo (ES),C,C,Media,24minutes.es,13,1,2010,,-1,1,Live,"cheetah, lions,  tiger, Iberian wolf, European Lynx, 3 pumas, eagle and falcons seized. Animals were transported to Spain from Eastern Europe by land under terrible conditions destined forr canned hunting. Operation was launched after an Iberian wolf was offered for sale on the internet. Network was operating in 8 provinces of Spain. ",1,0,1,0,0,"Confiscated by SEPRONA as part of Operation ""Lobezno""",Eight people who sold wildlife products on the internet were arrested. Article provides data on detainees.,SEPRONA (Nature Protection Service),Unknown x 8,"https://www.laregion.es/articulo/galicia/desarticulada-red-traficaba-especies-protegidas-comunidades-ellas-galicia/20100114131027109630.html, https://www.ecoticias.com/naturaleza/21484/noticias-de-peligro-de-extincion-bosque-arboleda-selva-plantas-incendios-fuego-humedales-forestal-medio-medio-ambiente-medioambiente-medioambiental-renovables-marm, https://www.elmundo.es/suplementos/cronica/2010/747/1265497203.html"
PT-2010-002,Seizure,14/01/2010,23/10/2015,O,East Africa,Kenya,Mombasa,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,14,1,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,"1 arrested, 1  prosecuted for Illegal  possession and dealing.  1 given 18 months imprisonment or Kshs 63,000 in default",Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-003,Seizure,31/01/2010,28/08/2012,D,Middle East,UAE,Ghowaifat,Border,,,,A,Seizure,A,CITES Natl Authority,A,C,Web site/Direct,"CITES Trade DB, CITES MA",31,1,2010,,-1,5,Live,Cheetahs from XX confiscated by Ministry of Environment and Water,5,0,0,0,5,"SC65 Doc. 39 (Rev. 2), Addendum. 15 more on report listed on 11 June 2010.
",,Ministry of Environment and Water,Unknown,
PT-2010-004,Possession/trade,03/02/2010,24/01/2012,D,Middle East,UAE,Sharjah,Unknown,,,,B,Zoo or rescue center report,B,Original source,A,C,Database,Int'l Cheetah Studbook (2010),3,2,2010,,,1,Live,18-mo cheetah of unknown origin transferred to zoo,0,0,1,0,0,,Studbook # on file. Not reported as confiscation.,Does not apply,Unknown,https://cheetah.org/resource-library/2010-international-cheetah-studbook/
PT-2010-005,Seizure,11/02/2010,13/09/2010,O,Southern Africa,Namibia,Khorixas,Rural area,,,,A,Direct,C,Original source,A,C,Annual Report,CCF Annual Report 2010,11,2,2010,,,1,Live,approx. 3 months old) confiscated from private individual by the Khorixas Ministry of Environment and Tourism (MET),1,0,1,0,0,,Transferred to rescue center.,Khorixas Ministry of Environment and Tourism (MET),Unknown,https://cheetah.org/resource-library/2010-annual-report/
PT-2010-006,Seizure,16/02/2010,02/04/2014,T,Middle East,Jordan,Al Omari,Border crossing,,Saudi Arabia,Syria,C,Video,C,Rescue center or Zoo,B,C,Media,"Jordan Times, Ammon News (JOR)",16,2,2010,,,4,Live,"cubs being smuggled from Saudi Arabia in two small straw baskets were found in a car from Saudi Arabia destined for Syria, confiscated by Jordanian authorities.",4,0,4,0,0,,"Jordan Customs Department collected JD20,300 (28500 USD) in fines on four smuggled cheetah cubs. The cubs were sent to the Royal Society for the Conservation of Nature. ",Customs,Unknown,http://www.jordantimes.com/index.php?news=24062; https://www.youtube.com/watch?v=hn5ig4VlvYk
PT-2010-007,Seizure,27/02/2010,23/10/2015,O,East Africa,Kenya,Nakuru,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,27,2,2010,,,2,Skin,"Transported on land as luggage, confiscated by KWS",2,0,0,2,0,,2 arrested 2 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-008,Seizure,03/03/2010,23/10/2015,O,East Africa,Kenya,Garissa,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,3,3,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,3 arrested 3 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-009,Seizure,16/03/2010,28/08/2012,T,Americas,USA,,Unknown,,China,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,16,3,2010,,,~,Other,"2 Medicinal products traveling from China, confiscated by USFWS (unknown full units). Purpose: P (personal)",2,0,0,~,0,,,USFWS,Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-010,Possession/trade,08/04/2010,28/08/2012,D,Middle East,UAE,,Unknown,,,,B,Zoo,A,Zoo or rescue center,A,B,Database,Int'l Cheetah Studbook (2010),8,4,2010,,,2,Live,2-mo cubs of Unk Birth Type transferred to zoo,0,0,2,0,0,"Later transf to ""Private"" 2011",Not reported as confiscation,Does not apply,Unknown,http://www.cites.org/sites/default/files/eng/com/sc/65/E-SC65-39-Add.pdf
